trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-25,2026-06-25T09:49:48,0205326,006340,SELL,19,10660,202540,20.0,402.0,422.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,0,0,,19,202540,,,,,OPEN
2026-06-25,2026-06-25T10:42:06,0258333,000500,BUY,1,301000,301000,40.0,0.0,40.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,1,301000,301000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:42:08,0258367,000500,SELL,1,302000,302000,40.0,604.0,644.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,1,301000,301000.0,1,302000,1000.0,316.0,0.3322,0.1050,CLOSED
2026-06-25,2026-06-25T10:53:04,0267651,096770,BUY,3,98800,296400,40.0,0.0,40.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,3,296400,98800.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T11:24:24,0292152,204320,BUY,6,49750,298500,40.0,0.0,40.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,6,298500,49750.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T11:25:13,0292574,489790,BUY,5,57300,286500,40.0,0.0,40.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,5,286500,57300.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T11:25:13,0292577,489790,SELL,5,57500,287500,40.0,574.0,614.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,5,286500,57300.0,5,287500,1000.0,346.0,0.3490,0.1208,CLOSED
2026-06-25,2026-06-25T11:41:27,0302342,005387,BUY,1,219500,219500,30.0,0.0,30.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,1,219500,219500.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T11:41:28,0302346,005387,SELL,1,220500,220500,30.0,440.0,470.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,1,219500,219500.0,1,220500,1000.0,500.0,0.4556,0.2278,CLOSED
2026-06-25,2026-06-25T15:00:13,0456446,096770,SELL,3,95400,286200,40.0,572.0,612.0,eod_reconciliation,726862,1306162,1306162,-12108,0.9184764881245875,4.61125106539707,3,296400,98800.0,3,286200,-10200.0,-10852.0,-3.4413,-3.6613,CLOSED
