trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:44,0167162,014680,BUY,2,261500,523000,70.0,0.0,70.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,2,523000,261500.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:32:16,0168523,014680,SELL,2,263500,527000,70.0,1053.0,1123.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,2,523000,261500.0,2,527000,4000.0,2807.0,0.7648,0.5367,CLOSED
2026-06-10,2026-06-10T09:35:12,0176387,036570,BUY,1,256000,256000,30.0,0.0,30.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,1,256000,256000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:35:43,0177552,036570,SELL,1,257500,257500,30.0,514.0,544.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,1,256000,256000.0,1,257500,1500.0,926.0,0.5859,0.3617,CLOSED
2026-06-10,2026-06-10T09:38:45,0184125,009420,BUY,5,50500,252500,30.0,0.0,30.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,5,252500,50500.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:39:17,0185087,009420,SELL,5,50800,254000,30.0,508.0,538.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,5,252500,50500.0,5,254000,1500.0,932.0,0.5941,0.3691,CLOSED
2026-06-10,2026-06-10T09:42:17,0190784,008770,BUY,3,53600,160800,20.0,0.0,20.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:49,0191731,008770,SELL,3,53900,161700,20.0,322.0,342.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,3,160800,53600.0,3,161700,900.0,538.0,0.5597,0.3346,CLOSED
2026-06-10,2026-06-10T09:45:48,0197709,181710,BUY,3,40650,121950,10.0,0.0,10.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,3,121950,40650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:46:20,0198697,181710,SELL,3,40850,122550,10.0,244.0,254.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,3,121950,40650.0,3,122550,600.0,336.0,0.4920,0.2755,CLOSED
2026-06-10,2026-06-10T09:49:20,0203738,028670,BUY,14,5060,70840,10.0,0.0,10.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,14,70840,5060.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:49:54,0204681,028670,SELL,14,5080,71120,10.0,141.0,151.0,eod_reconciliation,395537,803837,803837,-472324,37.01131753752074,14,70840,5060.0,14,71120,280.0,119.0,0.3953,0.1680,CLOSED
2026-06-10,2026-06-10T09:53:05,0210389,281820,BUY,3,66000,198000,20.0,0.0,20.0,eod_reconciliation,37498,1470738,1470738,869471,-144.60647266522193,3,198000,66000.0,0,0,,,,,OPEN
