Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,343000,1,6000,1.78,343000,345500,332500,17548685,5970562049352,2005273562544000,5846278608,STK
000660,KR7000660001,SK하이닉스,KOSPI,,2382000,1,94000,4.11,2381000,2400000,2286000,3644469,8608079280084,1697657033430000,712702365,STK
402340,KR7402340004,SK스퀘어,KOSPI,,1501000,1,88000,6.23,1440000,1510000,1380000,872218,1275791203000,198069537386000,131958386,STK
005935,KR7005931001,삼성전자우,KOSPI,,224000,1,8000,3.7,220000,224500,216000,3341287,739325628500,179731149472000,802371203,STK
009150,KR7009150004,삼성전기,KOSPI,,2048000,1,49000,2.45,2042000,2071000,1970000,1084769,2202475204500,152972689408000,74693696,STK
005380,KR7005380001,현대차,KOSPI,,640000,2,-7000,-1.08,648000,654000,627000,1286352,820827654000,131044970240000,204757766,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,410500,2,-10000,-2.38,423000,423500,406500,327489,134997129500,96057000000000,234000000,STK
032830,KR7032830002,삼성생명,KOSPI,,431000,1,8000,1.89,427000,433000,421500,251317,107404496500,86200000000000,200000000,STK
028260,KR7028260008,삼성물산,KOSPI,,497000,1,2000,0.4,499000,506000,482000,480592,237425500000,80597287757000,162167581,STK
329180,KR7329180004,HD현대중공업,KOSPI,,698000,2,-16000,-2.24,705000,719000,690000,264093,186329575500,73262935050000,104961225,STK
000270,KR7000270009,기아,KOSPI,,170200,1,2700,1.61,171700,171900,166200,1130432,192109245100,66448292259600,390412998,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,103300,1,3500,3.51,105100,105500,101800,3301721,342291124000,66169966381800,640561146,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1333000,1,1000,0.08,1349000,1357000,1321000,40379,54021368000,61705837683000,46290951,STK
105560,KR7105560007,KB금융,KOSPI,,172000,1,2400,1.42,174600,182700,170600,1678455,295449684750,61006290248000,354687734,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1183000,1,99000,9.13,1147000,1212000,1125000,369748,435080117500,60999503383000,51563401,STK
012330,KR7012330007,현대모비스,KOSPI,,660000,1,20000,3.13,654000,686000,635000,501325,329453288000,59883504780000,90732583,STK
055550,KR7055550008,신한지주,KOSPI,,106700,1,1100,1.04,105600,110700,105500,1236763,133621310200,50645620318700,474654361,STK
034730,KR7034730002,SK,KOSPI,,673000,1,27000,4.18,665000,691000,663000,166152,111702892500,48794319119000,72502703,STK
006400,KR7006400006,삼성SDI,KOSPI,,549000,2,-4000,-0.72,564000,565000,546000,352915,194975782500,44241455970000,80585530,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,1114000,2,-80000,-6.7,1212000,1213000,1107000,183143,210345110000,40156508390000,36047135,STK
042660,KR7042660001,한화오션,KOSPI,,129200,1,5800,4.7,123900,130700,121700,2044579,262085328150,39588610504800,306413394,STK
068270,KR7068270008,셀트리온,KOSPI,,174500,2,-500,-0.29,174200,177400,172300,427814,74767603500,38675022018000,221633364,STK
010120,KR7010120004,LS ELECTRIC,KOSPI,,257500,3,0,0.0,269000,269500,254000,891958,232434911250,38625000000000,150000000,STK
066570,KR7066570003,LG전자,KOSPI,,234000,2,-9500,-3.9,249500,250000,232000,1602695,379781618250,38115005292000,162884638,STK
035420,KR7035420009,NAVER,KOSPI,,242000,2,-6000,-2.42,255000,265500,239500,2480043,618019473000,37966815656000,156887668,STK
298040,KR7298040007,효성중공업,KOSPI,,3892000,1,140000,3.73,3958000,3990000,3803000,58260,228147230000,36291140816000,9324548,STK
086790,KR7086790003,하나금융지주,KOSPI,,132000,1,2700,2.09,129000,136000,128500,1074269,142399970100,36216542736000,274367748,STK
042700,KR7042700005,한미반도체,KOSPI,,328500,2,-18500,-5.33,358500,363000,326000,1083778,364247523500,31310057700000,95312200,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,438500,1,16500,3.91,434500,451500,423500,558119,247256735250,31034011366000,70773116,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,390000,2,-5000,-1.27,396500,396500,386500,319132,124409468500,30904195530000,79241527,STK
000810,KR7000810002,삼성화재,KOSPI,,671000,2,-5000,-0.74,670000,698000,662000,152534,102506382500,29958454383000,44647473,STK
011070,KR7011070000,LG이노텍,KOSPI,,1236000,1,27000,2.23,1290000,1301000,1210000,516339,647853713000,29252544252000,23667107,STK
006800,KR7006800007,미래에셋증권,KOSPI,,51300,2,-300,-0.58,52800,55400,50900,3828119,202145733250,28705780944000,559566880,STK
000150,KR7000150003,두산,KOSPI,,1699000,2,-10000,-0.59,1770000,1814000,1684000,77677,134802175500,27513325665000,16193835,STK
010130,KR7010130003,고려아연,KOSPI,,1293000,1,40000,3.19,1299000,1323000,1262000,17990,23440529500,26988748917000,20872969,STK
051910,KR7051910008,LG화학,KOSPI,,367500,1,7000,1.94,364500,372500,356000,228006,83476396750,25942686052500,70592343,STK
015760,KR7015760002,한국전력,KOSPI,,39800,2,-1600,-3.86,41500,41700,39800,2740085,110735100150,25550170264600,641964077,STK
010140,KR7010140002,삼성중공업,KOSPI,,28100,2,-550,-1.92,28750,29400,28100,4700796,134468916475,24728000000000,880000000,STK
064350,KR7064350002,현대로템,KOSPI,,226500,1,13500,6.34,221000,240000,218500,956649,219143668000,24720729364500,109142293,STK
316140,KR7316140003,우리금융지주,KOSPI,,33050,1,500,1.54,32250,33650,32150,2725311,90347744225,24261222376000,734076320,STK
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,1002000,1,157000,18.58,943000,1098000,936000,998463,1021298872500,22044000000000,22000000,STK
017670,KR7017670001,SK텔레콤,KOSPI,,100100,2,-5300,-5.03,105000,105100,100100,1630561,164940261700,21500484305300,214790053,STK
267250,KR7267250009,HD현대,KOSPI,,272000,1,4000,1.49,268500,282500,268500,139735,38465425500,21486119120000,78993085,STK
011200,KR7011200003,HMM,KOSPI,,22150,1,850,3.99,21050,22200,20600,2870572,62315714900,20892721035500,943237970,STK
272210,KR7272210006,한화시스템,KOSPI,,106400,1,6900,6.93,102800,116500,102300,2027969,222884147000,20101022989600,188919389,STK
307950,KR7307950006,현대오토에버,KOSPI,,716000,2,-30000,-4.02,750000,751000,702000,122950,88926609500,19635571112000,27423982,STK
033780,KR7033780008,KT&G,KOSPI,,185000,2,-3500,-1.86,188000,192400,183700,458876,85731324600,19204934360000,103810456,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,114400,1,3100,2.79,111100,116800,111100,310954,35741901350,19144528031200,167347273,STK
096770,KR7096770003,SK이노베이션,KOSPI,,112500,2,-200,-0.18,113100,113700,110000,276144,30996077400,19018438650000,169052788,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,209000,2,-1500,-0.71,210500,212000,205500,157425,32905549000,18589759980000,88946220,STK
024110,KR7024110009,기업은행,KOSPI,,23100,1,700,3.13,22300,23500,22300,3830645,88309731250,18420537573900,797425869,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,238000,2,-1500,-0.63,244500,244500,235000,287341,68890523250,18415916400000,77377800,STK
035720,KR7035720002,카카오,KOSPI,,40450,2,-300,-0.74,41100,41400,40450,1427296,58067963875,17869376371100,441764558,STK
003550,KR7003550001,LG,KOSPI,,114100,2,-4300,-3.63,118000,118200,112800,1368152,156832122900,17251007656400,151192004,STK
086280,KR7086280005,현대글로비스,KOSPI,,222000,1,5500,2.54,220000,226500,216000,252552,56074737000,16650000000000,75000000,STK
000720,KR7000720003,현대건설,KOSPI,,147800,1,2800,1.93,146000,155500,140600,1894314,282811869050,16458382067000,111355765,STK
047810,KR7047810007,한국항공우주,KOSPI,,154900,1,7300,4.95,150600,160900,150600,597024,93317541150,15098894074300,97475107,STK
278470,KR7278470000,에이피알,KOSPI,,399500,2,-16500,-3.97,416000,443000,398500,328075,136537207000,14956542922500,37438155,STK
030200,KR7030200000,KT,KOSPI,,56600,1,1200,2.17,55500,57600,55500,546517,31043469900,14264427371000,252021685,STK
071050,KR7071050009,한국금융지주,KOSPI,,252500,1,1000,0.4,251500,262000,250500,197295,50518470500,14070812980000,55725992,STK
006260,KR7006260004,LS,KOSPI,,424000,1,4500,1.07,436500,438000,413000,170519,72770671000,13228800000000,31200000,STK
010950,KR7010950004,S-Oil,KOSPI,,114100,1,400,0.35,113600,115800,111300,284836,32437272900,12845696567200,112582792,STK
005940,KR7005940002,NH투자증권,KOSPI,,32850,1,150,0.46,32700,33600,32550,994947,32895901950,11705912521650,356344369,STK
323410,KR7323410001,카카오뱅크,KOSPI,,24150,1,350,1.47,23800,24600,23800,1001519,24320505600,11522458553550,477120437,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,65300,1,5400,9.02,60000,66500,58800,1863824,120521367000,11487758056400,175922788,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,255500,1,500,0.2,254500,262000,250500,77782,19922352500,11454949030000,44833460,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,453500,1,2000,0.44,453000,458000,441500,29674,13343538250,11284462721500,24883049,STK
047040,KR7047040001,대우건설,KOSPI,,27450,1,4550,19.87,23150,28750,22300,48167340,1304618100975,11279414663100,410907638,STK
016360,KR7016360000,삼성증권,KOSPI,,124600,1,2100,1.71,122500,126700,121000,799001,99828783500,11126780000000,89300000,STK
028050,KR7028050003,삼성E&A,KOSPI,,56700,1,4600,8.83,52500,58800,51600,6517048,365499043250,11113200000000,196000000,STK
